#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28221e+00   1.00000e+00  -2.15787e-01 
  7.50000e-02   7.15295e-02   9.09200e-01  -1.14243e+00   9.83146e-01  -2.33213e-01 
  1.50000e-01   1.36624e-01   8.28179e-01  -1.02093e+00   9.65081e-01  -2.48122e-01 
  2.25000e-01   1.95969e-01   7.55674e-01  -9.14899e-01   9.45986e-01  -2.60707e-01 
  3.00000e-01   2.50161e-01   6.90615e-01  -8.22024e-01   9.26028e-01  -2.71159e-01 
  3.75000e-01   2.99725e-01   6.32090e-01  -7.40387e-01   9.05361e-01  -2.79662e-01 
  4.50000e-01   3.45119e-01   5.79317e-01  -6.68390e-01   8.84123e-01  -2.86390e-01 
  5.25000e-01   3.86749e-01   5.31624e-01  -6.04696e-01   8.62442e-01  -2.91510e-01 
  6.00000e-01   4.24975e-01   4.88433e-01  -5.48179e-01   8.40433e-01  -2.95179e-01 
  6.75000e-01   4.60114e-01   4.49242e-01  -4.97890e-01   8.18198e-01  -2.97542e-01 
  7.50000e-01   4.92450e-01   4.13614e-01  -4.53024e-01   7.95831e-01  -2.98738e-01 
  8.25000e-01   5.22236e-01   3.81170e-01  -4.12893e-01   7.73414e-01  -2.98893e-01 
  9.00000e-01   5.49697e-01   3.51576e-01  -3.76912e-01   7.51020e-01  -2.98124e-01 
  9.75000e-01   5.75036e-01   3.24542e-01  -3.44578e-01   7.28715e-01  -2.96538e-01 
  1.05000e+00   5.98436e-01   2.99809e-01  -3.15458e-01   7.06557e-01  -2.94235e-01 
  1.12500e+00   6.20059e-01   2.77152e-01  -2.89179e-01   6.84596e-01  -2.91305e-01 
  1.20000e+00   6.40055e-01   2.56370e-01  -2.65418e-01   6.62875e-01  -2.87830e-01 
  1.27500e+00   6.58557e-01   2.37284e-01  -2.43892e-01   6.41433e-01  -2.83884e-01 
  1.35000e+00   6.75686e-01   2.19736e-01  -2.24358e-01   6.20302e-01  -2.79537e-01 
