#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28192e+00   1.00000e+00  -1.30858e+00 
  7.50000e-02   7.15303e-02   9.09222e-01  -1.14214e+00   8.89710e-01  -1.60608e+00 
  1.50000e-01   1.36628e-01   8.28223e-01  -1.02063e+00   7.63135e-01  -1.74273e+00 
  2.25000e-01   1.95977e-01   7.55741e-01  -9.14589e-01   6.32017e-01  -1.73141e+00 
  3.00000e-01   2.50175e-01   6.90706e-01  -8.21701e-01   5.06303e-01  -1.60517e+00 
  3.75000e-01   2.99746e-01   6.32205e-01  -7.40050e-01   3.93078e-01  -1.40541e+00 
  4.50000e-01   3.45149e-01   5.79458e-01  -6.68037e-01   2.96330e-01  -1.17187e+00 
  5.25000e-01   3.86791e-01   5.31793e-01  -6.04325e-01   2.17336e-01  -9.36440e-01 
  6.00000e-01   4.25031e-01   4.88630e-01  -5.47790e-01   1.55363e-01  -7.20691e-01 
  6.75000e-01   4.60186e-01   4.49469e-01  -4.97482e-01   1.08441e-01  -5.36338e-01 
  7.50000e-01   4.92540e-01   4.13872e-01  -4.52596e-01   7.40261e-02  -3.87271e-01 
  8.25000e-01   5.22346e-01   3.81461e-01  -4.12446e-01   4.95001e-02  -2.72103e-01 
  9.00000e-01   5.49830e-01   3.51902e-01  -3.76446e-01   3.24707e-02  -1.86500e-01 
  9.75000e-01   5.75195e-01   3.24903e-01  -3.44093e-01   2.09234e-02  -1.24970e-01 
  1.05000e+00   5.98623e-01   3.00207e-01  -3.14956e-01   1.32611e-02  -8.20267e-02 
  1.12500e+00   6.20278e-01   2.77588e-01  -2.88660e-01   8.27650e-03  -5.28301e-02 
  1.20000e+00   6.40309e-01   2.56845e-01  -2.64882e-01   5.09222e-03  -3.34393e-02 
  1.27500e+00   6.58848e-01   2.37800e-01  -2.43341e-01   3.09174e-03  -2.08300e-02 
  1.35000e+00   6.76017e-01   2.20294e-01  -2.23792e-01   1.85414e-03  -1.27858e-02 
  1.42500e+00   6.91927e-01   2.04187e-01  -2.06022e-01   1.09926e-03  -7.74226e-03 
  1.50000e+00   7.06677e-01   1.89351e-01  -1.89843e-01   6.44815e-04  -4.62982e-03 
  1.57500e+00   7.20358e-01   1.75675e-01  -1.75091e-01   3.74512e-04  -2.73672e-03 
  1.65000e+00   7.33055e-01   1.63056e-01  -1.61620e-01   2.15524e-04  -1.60046e-03 
  1.72500e+00   7.44841e-01   1.51403e-01  -1.49303e-01   1.22971e-04  -9.26724e-04 
  1.80000e+00   7.55787e-01   1.40634e-01  -1.38027e-01   6.96056e-05  -5.31702e-04 
  1.87500e+00   7.65956e-01   1.30675e-01  -1.27690e-01   3.91072e-05  -3.02475e-04 
  1.95000e+00   7.75407e-01   1.21459e-01  -1.18205e-01   2.18200e-05  -1.70719e-04 
  2.02500e+00   7.84192e-01   1.12925e-01  -1.09491e-01   1.20957e-05  -9.56516e-05 
  2.10000e+00   7.92361e-01   1.05018e-01  -1.01478e-01   6.66424e-06  -5.32292e-05 
  2.17500e+00   7.99960e-01   9.76879e-02  -9.41014e-02   3.65040e-06  -2.94351e-05 
  2.25000e+00   8.07028e-01   9.08886e-02  -8.73053e-02   1.98825e-06  -1.61820e-05 
  2.32500e+00   8.13605e-01   8.45789e-02  -8.10384e-02   1.07675e-06  -8.84765e-06 
  2.40000e+00   8.19726e-01   7.87207e-02  -7.52548e-02   5.79530e-07  -4.81305e-06 
  2.47500e+00   8.25424e-01   7.32796e-02  -6.99130e-02   3.09628e-07  -2.60591e-06 
  2.55000e+00   8.30728e-01   6.82237e-02  -6.49758e-02   1.63788e-07  -1.40470e-06 
