#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28189e+00   1.00000e+00  -3.43556e-01 
  7.50000e-02   7.15304e-02   9.09224e-01  -1.14210e+00   9.74245e-01  -3.43088e-01 
  1.50000e-01   1.36628e-01   8.28228e-01  -1.02060e+00   9.48559e-01  -3.41745e-01 
  2.25000e-01   1.95977e-01   7.55749e-01  -9.14554e-01   9.23003e-01  -3.39614e-01 
  3.00000e-01   2.50176e-01   6.90716e-01  -8.21665e-01   8.97634e-01  -3.36780e-01 
  3.75000e-01   2.99748e-01   6.32218e-01  -7.40012e-01   8.72502e-01  -3.33321e-01 
  4.50000e-01   3.45153e-01   5.79474e-01  -6.67997e-01   8.47650e-01  -3.29311e-01 
  5.25000e-01   3.86796e-01   5.31811e-01  -6.04283e-01   8.23117e-01  -3.24818e-01 
  6.00000e-01   4.25037e-01   4.88652e-01  -5.47746e-01   7.98937e-01  -3.19908e-01 
  6.75000e-01   4.60194e-01   4.49494e-01  -4.97437e-01   7.75140e-01  -3.14639e-01 
  7.50000e-01   4.92550e-01   4.13901e-01  -4.52548e-01   7.51749e-01  -3.09066e-01 
  8.25000e-01   5.22359e-01   3.81493e-01  -4.12396e-01   7.28786e-01  -3.03238e-01 
  9.00000e-01   5.49845e-01   3.51938e-01  -3.76394e-01   7.06269e-01  -2.97200e-01 
  9.75000e-01   5.75213e-01   3.24943e-01  -3.44039e-01   6.84210e-01  -2.90995e-01 
  1.05000e+00   5.98644e-01   3.00252e-01  -3.14900e-01   6.62623e-01  -2.84658e-01 
  1.12500e+00   6.20303e-01   2.77637e-01  -2.88601e-01   6.41514e-01  -2.78225e-01 
  1.20000e+00   6.40337e-01   2.56899e-01  -2.64822e-01   6.20891e-01  -2.71724e-01 
  1.27500e+00   6.58880e-01   2.37858e-01  -2.43279e-01   6.00756e-01  -2.65184e-01 
  1.35000e+00   6.76054e-01   2.20357e-01  -2.23729e-01   5.81114e-01  -2.58627e-01 
  1.42500e+00   6.91969e-01   2.04254e-01  -2.05957e-01   5.61962e-01  -2.52077e-01 
  1.50000e+00   7.06724e-01   1.89424e-01  -1.89777e-01   5.43301e-01  -2.45551e-01 
  1.57500e+00   7.20411e-01   1.75752e-01  -1.75023e-01   5.25128e-01  -2.39067e-01 
  1.65000e+00   7.33113e-01   1.63138e-01  -1.61552e-01   5.07440e-01  -2.32639e-01 
  1.72500e+00   7.44906e-01   1.51490e-01  -1.49234e-01   4.90231e-01  -2.26280e-01 
  1.80000e+00   7.55859e-01   1.40727e-01  -1.37957e-01   4.73496e-01  -2.20000e-01 
