#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31827e+00   1.00000e+00  -2.24420e+00 
  7.50000e-02   7.14279e-02   9.06488e-01  -1.17878e+00   8.33213e-01  -2.18392e+00 
  1.50000e-01   1.36216e-01   8.22714e-01  -1.05806e+00   6.75024e-01  -2.01953e+00 
  2.25000e-01   1.95046e-01   7.47382e-01  -9.53229e-01   5.32089e-01  -1.78298e+00 
  3.00000e-01   2.48507e-01   6.79393e-01  -8.61878e-01   4.08502e-01  -1.50929e+00 
  3.75000e-01   2.97115e-01   6.17813e-01  -7.82025e-01   3.05838e-01  -1.22966e+00 
  4.50000e-01   3.41319e-01   5.61843e-01  -7.12012e-01   2.23606e-01  -9.67601e-01 
  5.25000e-01   3.81515e-01   5.10800e-01  -6.50447e-01   1.59887e-01  -7.37686e-01 
  6.00000e-01   4.18048e-01   4.64095e-01  -5.96155e-01   1.11981e-01  -5.46461e-01 
  6.75000e-01   4.51225e-01   4.21220e-01  -5.48144e-01   7.69368e-02  -3.94368e-01 
  7.50000e-01   4.81315e-01   3.81737e-01  -5.05567e-01   5.19325e-02  -2.77938e-01 
  8.25000e-01   5.08560e-01   3.45267e-01  -4.67704e-01   3.44905e-02  -1.91718e-01 
  9.00000e-01   5.33173e-01   3.11479e-01  -4.33935e-01   2.25702e-02  -1.29699e-01 
  9.75000e-01   5.55342e-01   2.80088e-01  -4.03729e-01   1.45729e-02  -8.62176e-02 
  1.05000e+00   5.75239e-01   2.50843e-01  -3.76627e-01   9.29634e-03  -5.64169e-02 
  1.12500e+00   5.93017e-01   2.23526e-01  -3.52232e-01   5.86659e-03  -3.63991e-02 
  1.20000e+00   6.08812e-01   1.97949e-01  -3.30200e-01   3.66690e-03  -2.31904e-02 
  1.27500e+00   6.22748e-01   1.73945e-01  -3.10230e-01   2.27281e-03  -1.46113e-02 
