#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31414e+00   1.00000e+00   2.33007e+01 
  7.50000e-02   7.14396e-02   9.06799e-01  -1.17462e+00   2.75318e+00   2.34683e+01 
  1.50000e-01   1.36263e-01   8.23340e-01  -1.05381e+00   4.52254e+00   2.37281e+01 
  2.25000e-01   1.95152e-01   7.48332e-01  -9.48839e-01   6.31409e+00   2.40563e+01 
  3.00000e-01   2.48697e-01   6.80678e-01  -8.57315e-01   8.13220e+00   2.44329e+01 
  3.75000e-01   2.97414e-01   6.19448e-01  -7.77260e-01   9.97981e+00   2.48408e+01 
  4.50000e-01   3.41754e-01   5.63844e-01  -7.07023e-01   1.18587e+01   2.52653e+01 
  5.25000e-01   3.82114e-01   5.13184e-01  -6.45217e-01   1.37697e+01   2.56938e+01 
  6.00000e-01   4.18841e-01   4.66880e-01  -5.90676e-01   1.57126e+01   2.61155e+01 
  6.75000e-01   4.52242e-01   4.24426e-01  -5.42411e-01   1.76866e+01   2.65211e+01 
  7.50000e-01   4.82590e-01   3.85383e-01  -4.99582e-01   1.96902e+01   2.69025e+01 
  8.25000e-01   5.10125e-01   3.49371e-01  -4.61471e-01   2.17212e+01   2.72526e+01 
  9.00000e-01   5.35063e-01   3.16059e-01  -4.27463e-01   2.37771e+01   2.75654e+01 
  9.75000e-01   5.57594e-01   2.85162e-01  -3.97031e-01   2.58550e+01   2.78356e+01 
  1.05000e+00   5.77891e-01   2.56427e-01  -3.69720e-01   2.79513e+01   2.80588e+01 
  1.12500e+00   5.96107e-01   2.29636e-01  -3.45134e-01   3.00625e+01   2.82310e+01 
  1.20000e+00   6.12380e-01   2.04597e-01  -3.22934e-01   3.21846e+01   2.83489e+01 
  1.27500e+00   6.26836e-01   1.81143e-01  -3.02820e-01   3.43134e+01   2.84097e+01 
  1.35000e+00   6.39588e-01   1.59128e-01  -2.84536e-01   3.64446e+01   2.84111e+01 
  1.42500e+00   6.50738e-01   1.38423e-01  -2.67856e-01   3.85735e+01   2.83511e+01 
  1.50000e+00   6.60381e-01   1.18915e-01  -2.52581e-01   4.06957e+01   2.82283e+01 
  1.57500e+00   6.68603e-01   1.00505e-01  -2.38540e-01   4.28062e+01   2.80416e+01 
  1.65000e+00   6.75482e-01   8.31067e-02  -2.25580e-01   4.49003e+01   2.77900e+01 
  1.72500e+00   6.81092e-01   6.66441e-02  -2.13570e-01   4.69731e+01   2.74732e+01 
  1.80000e+00   6.85501e-01   5.10504e-02  -2.02392e-01   4.90196e+01   2.70910e+01 
  1.87500e+00   6.88770e-01   3.62670e-02  -1.91945e-01   5.10351e+01   2.66435e+01 
  1.95000e+00   6.90960e-01   2.22426e-02  -1.82139e-01   5.30145e+01   2.61313e+01 
  2.02500e+00   6.92124e-01   8.93210e-03  -1.72895e-01   5.49532e+01   2.55549e+01 
  2.10000e+00   6.92316e-01  -3.70396e-03  -1.64144e-01   5.68462e+01   2.49155e+01 
  2.17500e+00   6.91585e-01  -1.57003e-02  -1.55826e-01   5.86889e+01   2.42143e+01 
