#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.32305e+00   1.00000e+00  -4.98573e+00 
  7.50000e-02   7.14145e-02   9.06129e-01  -1.18360e+00   6.86350e-01  -3.46675e+00 
  1.50000e-01   1.36162e-01   8.21990e-01  -1.06299e+00   4.68755e-01  -2.39874e+00 
  2.25000e-01   1.94924e-01   7.46283e-01  -9.58307e-01   3.18559e-01  -1.65117e+00 
  3.00000e-01   2.48288e-01   6.77906e-01  -8.67157e-01   2.15429e-01  -1.13052e+00 
  3.75000e-01   2.96769e-01   6.15921e-01  -7.87539e-01   1.44996e-01  -7.69891e-01 
  4.50000e-01   3.40816e-01   5.59529e-01  -7.17784e-01   9.71501e-02  -5.21524e-01 
  5.25000e-01   3.80821e-01   5.08042e-01  -6.56495e-01   6.48178e-02  -3.51466e-01 
  6.00000e-01   4.17130e-01   4.60873e-01  -6.02490e-01   4.30787e-02  -2.35701e-01 
  6.75000e-01   4.50047e-01   4.17512e-01  -5.54770e-01   2.85316e-02  -1.57344e-01 
  7.50000e-01   4.79841e-01   3.77521e-01  -5.12483e-01   1.88399e-02  -1.04595e-01 
  8.25000e-01   5.06750e-01   3.40522e-01  -4.74903e-01   1.24089e-02  -6.92674e-02 
  9.00000e-01   5.30986e-01   3.06184e-01  -4.41405e-01   8.15673e-03  -4.57205e-02 
  9.75000e-01   5.52737e-01   2.74222e-01  -4.11455e-01   5.35383e-03  -3.00937e-02 
  1.05000e+00   5.72172e-01   2.44389e-01  -3.84589e-01   3.51097e-03  -1.97631e-02 
  1.12500e+00   5.89443e-01   2.16467e-01  -3.60406e-01   2.30174e-03  -1.29565e-02 
  1.20000e+00   6.04686e-01   1.90269e-01  -3.38558e-01   1.50945e-03  -8.48446e-03 
  1.27500e+00   6.18023e-01   1.65633e-01  -3.18743e-01   9.90781e-04  -5.55285e-03 
  1.35000e+00   6.29566e-01   1.42414e-01  -3.00697e-01   6.51340e-04  -3.63430e-03 
  1.42500e+00   6.39417e-01   1.20490e-01  -2.84190e-01   4.29125e-04  -2.38011e-03 
  1.50000e+00   6.47669e-01   9.97519e-02  -2.69022e-01   2.83519e-04  -1.56066e-03 
  1.57500e+00   6.54407e-01   8.01073e-02  -2.55015e-01   1.87967e-04  -1.02522e-03 
  1.65000e+00   6.59710e-01   6.14745e-02  -2.42016e-01   1.25130e-04  -6.75131e-04 
  1.72500e+00   6.63652e-01   4.37831e-02  -2.29890e-01   8.36933e-05  -4.45946e-04 
  1.80000e+00   6.66300e-01   2.69721e-02  -2.18519e-01   5.62778e-05  -2.95641e-04 
  1.87500e+00   6.67718e-01   1.09889e-02  -2.07800e-01   3.80675e-05  -1.96833e-04 
  1.95000e+00   6.67968e-01  -4.21187e-03  -1.97642e-01   2.59164e-05  -1.31688e-04 
  2.02500e+00   6.67105e-01  -1.86694e-02  -1.87967e-01   1.77665e-05  -8.85864e-05 
  2.10000e+00   6.65185e-01  -3.24173e-02  -1.78707e-01   1.22688e-05  -5.99543e-05 
  2.17500e+00   6.62260e-01  -4.54844e-02  -1.69803e-01   8.53663e-06  -4.08468e-05 
  2.25000e+00   6.58379e-01  -5.78953e-02  -1.61203e-01   5.98543e-06  -2.80300e-05 
  2.32500e+00   6.53591e-01  -6.96713e-02  -1.52864e-01   4.22845e-06  -1.93840e-05 
  2.40000e+00   6.47943e-01  -8.08305e-02  -1.44749e-01   3.00878e-06  -1.35154e-05 
  2.47500e+00   6.41482e-01  -9.13885e-02  -1.36826e-01   2.15495e-06  -9.50499e-06 
