#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28221e+00   1.00000e+00   1.88785e+00 
  7.50000e-03   7.46408e-03   9.90439e-01  -1.26732e+00   1.01382e+00   1.79725e+00 
  7.79201e-03   7.75324e-03   9.90069e-01  -1.26674e+00   1.01434e+00   1.79370e+00 
  8.09538e-03   8.05354e-03   9.89685e-01  -1.26615e+00   1.01489e+00   1.79001e+00 
  8.41057e-03   8.36542e-03   9.89286e-01  -1.26553e+00   1.01545e+00   1.78617e+00 
  8.73803e-03   8.68930e-03   9.88872e-01  -1.26488e+00   1.01604e+00   1.78218e+00 
  9.07824e-03   9.02565e-03   9.88442e-01  -1.26421e+00   1.01664e+00   1.77804e+00 
  9.43170e-03   9.37494e-03   9.87995e-01  -1.26352e+00   1.01727e+00   1.77373e+00 
  9.79891e-03   9.73767e-03   9.87531e-01  -1.26280e+00   1.01792e+00   1.76925e+00 
  1.01804e-02   1.01143e-02   9.87050e-01  -1.26205e+00   1.01859e+00   1.76459e+00 
  1.05768e-02   1.05055e-02   9.86549e-01  -1.26127e+00   1.01929e+00   1.75975e+00 
  1.09886e-02   1.09116e-02   9.86030e-01  -1.26046e+00   1.02002e+00   1.75472e+00 
  1.14164e-02   1.13334e-02   9.85491e-01  -1.25963e+00   1.02077e+00   1.74949e+00 
  1.18609e-02   1.17713e-02   9.84931e-01  -1.25876e+00   1.02154e+00   1.74405e+00 
  1.23227e-02   1.22260e-02   9.84350e-01  -1.25786e+00   1.02235e+00   1.73840e+00 
  1.28025e-02   1.26981e-02   9.83747e-01  -1.25692e+00   1.02318e+00   1.73252e+00 
  1.33009e-02   1.31883e-02   9.83121e-01  -1.25595e+00   1.02404e+00   1.72641e+00 
  1.38188e-02   1.36973e-02   9.82471e-01  -1.25494e+00   1.02493e+00   1.72006e+00 
  1.43568e-02   1.42257e-02   9.81796e-01  -1.25389e+00   1.02586e+00   1.71345e+00 
  1.49158e-02   1.47743e-02   9.81095e-01  -1.25280e+00   1.02681e+00   1.70659e+00 
  1.54965e-02   1.53438e-02   9.80368e-01  -1.25167e+00   1.02780e+00   1.69945e+00 
  1.60999e-02   1.59351e-02   9.79613e-01  -1.25050e+00   1.02882e+00   1.69202e+00 
  1.67267e-02   1.65489e-02   9.78830e-01  -1.24929e+00   1.02988e+00   1.68430e+00 
  1.73780e-02   1.71861e-02   9.78016e-01  -1.24803e+00   1.03098e+00   1.67628e+00 
  1.80546e-02   1.78475e-02   9.77172e-01  -1.24672e+00   1.03211e+00   1.66793e+00 
  1.87575e-02   1.85341e-02   9.76297e-01  -1.24536e+00   1.03328e+00   1.65925e+00 
  1.94878e-02   1.92468e-02   9.75388e-01  -1.24396e+00   1.03449e+00   1.65023e+00 
  2.02466e-02   1.99865e-02   9.74444e-01  -1.24249e+00   1.03573e+00   1.64084e+00 
  2.10349e-02   2.07543e-02   9.73465e-01  -1.24098e+00   1.03702e+00   1.63108e+00 
  2.18538e-02   2.15511e-02   9.72450e-01  -1.23941e+00   1.03836e+00   1.62094e+00 
  2.27047e-02   2.23781e-02   9.71396e-01  -1.23778e+00   1.03973e+00   1.61038e+00 
  2.35887e-02   2.32363e-02   9.70302e-01  -1.23608e+00   1.04115e+00   1.59941e+00 
  2.45071e-02   2.41269e-02   9.69168e-01  -1.23433e+00   1.04261e+00   1.58800e+00 
  2.54613e-02   2.50511e-02   9.67991e-01  -1.23251e+00   1.04412e+00   1.57613e+00 
