#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28221e+00   1.00000e+00  -3.60322e-01 
  7.50000e-03   7.46408e-03   9.90439e-01  -1.26732e+00   9.97298e-01  -3.60316e-01 
  7.79201e-03   7.75324e-03   9.90069e-01  -1.26674e+00   9.97192e-01  -3.60316e-01 
  8.09538e-03   8.05354e-03   9.89685e-01  -1.26615e+00   9.97083e-01  -3.60316e-01 
  8.41057e-03   8.36542e-03   9.89286e-01  -1.26553e+00   9.96970e-01  -3.60315e-01 
  8.73803e-03   8.68930e-03   9.88872e-01  -1.26488e+00   9.96852e-01  -3.60315e-01 
  9.07824e-03   9.02565e-03   9.88442e-01  -1.26421e+00   9.96729e-01  -3.60314e-01 
  9.43170e-03   9.37494e-03   9.87995e-01  -1.26352e+00   9.96602e-01  -3.60314e-01 
  9.79891e-03   9.73767e-03   9.87531e-01  -1.26280e+00   9.96469e-01  -3.60313e-01 
  1.01804e-02   1.01143e-02   9.87050e-01  -1.26205e+00   9.96332e-01  -3.60312e-01 
  1.05768e-02   1.05055e-02   9.86549e-01  -1.26127e+00   9.96189e-01  -3.60311e-01 
  1.09886e-02   1.09116e-02   9.86030e-01  -1.26046e+00   9.96041e-01  -3.60311e-01 
  1.14164e-02   1.13334e-02   9.85491e-01  -1.25963e+00   9.95886e-01  -3.60310e-01 
  1.18609e-02   1.17713e-02   9.84931e-01  -1.25876e+00   9.95726e-01  -3.60309e-01 
  1.23227e-02   1.22260e-02   9.84350e-01  -1.25786e+00   9.95560e-01  -3.60308e-01 
  1.28025e-02   1.26981e-02   9.83747e-01  -1.25692e+00   9.95387e-01  -3.60307e-01 
  1.33009e-02   1.31883e-02   9.83121e-01  -1.25595e+00   9.95207e-01  -3.60306e-01 
  1.38188e-02   1.36973e-02   9.82471e-01  -1.25494e+00   9.95021e-01  -3.60304e-01 
  1.43568e-02   1.42257e-02   9.81796e-01  -1.25389e+00   9.94827e-01  -3.60303e-01 
  1.49158e-02   1.47743e-02   9.81095e-01  -1.25280e+00   9.94626e-01  -3.60302e-01 
  1.54965e-02   1.53438e-02   9.80368e-01  -1.25167e+00   9.94416e-01  -3.60300e-01 
  1.60999e-02   1.59351e-02   9.79613e-01  -1.25050e+00   9.94199e-01  -3.60298e-01 
  1.67267e-02   1.65489e-02   9.78830e-01  -1.24929e+00   9.93973e-01  -3.60297e-01 
  1.73780e-02   1.71861e-02   9.78016e-01  -1.24803e+00   9.93738e-01  -3.60295e-01 
  1.80546e-02   1.78475e-02   9.77172e-01  -1.24672e+00   9.93495e-01  -3.60292e-01 
  1.87575e-02   1.85341e-02   9.76297e-01  -1.24536e+00   9.93241e-01  -3.60290e-01 
  1.94878e-02   1.92468e-02   9.75388e-01  -1.24396e+00   9.92978e-01  -3.60288e-01 
  2.02466e-02   1.99865e-02   9.74444e-01  -1.24249e+00   9.92705e-01  -3.60285e-01 
  2.10349e-02   2.07543e-02   9.73465e-01  -1.24098e+00   9.92421e-01  -3.60282e-01 
  2.18538e-02   2.15511e-02   9.72450e-01  -1.23941e+00   9.92126e-01  -3.60279e-01 
  2.27047e-02   2.23781e-02   9.71396e-01  -1.23778e+00   9.91819e-01  -3.60276e-01 
  2.35887e-02   2.32363e-02   9.70302e-01  -1.23608e+00   9.91501e-01  -3.60272e-01 
  2.45071e-02   2.41269e-02   9.69168e-01  -1.23433e+00   9.91170e-01  -3.60268e-01 
  2.54613e-02   2.50511e-02   9.67991e-01  -1.23251e+00   9.90826e-01  -3.60264e-01 
  2.64526e-02   2.60101e-02   9.66770e-01  -1.23062e+00   9.90469e-01  -3.60259e-01 
  2.74825e-02   2.70051e-02   9.65504e-01  -1.22867e+00   9.90098e-01  -3.60254e-01 
  2.85525e-02   2.80375e-02   9.64190e-01  -1.22664e+00   9.89713e-01  -3.60249e-01 
  2.96642e-02   2.91086e-02   9.62828e-01  -1.22454e+00   9.89312e-01  -3.60243e-01 
  3.08191e-02   3.02198e-02   9.61415e-01  -1.22236e+00   9.88896e-01  -3.60237e-01 
  3.20191e-02   3.13726e-02   9.59949e-01  -1.22010e+00   9.88464e-01  -3.60230e-01 
  3.32657e-02   3.25683e-02   9.58430e-01  -1.21775e+00   9.88015e-01  -3.60223e-01 
  3.45609e-02   3.38087e-02   9.56854e-01  -1.21533e+00   9.87548e-01  -3.60216e-01 
  3.59065e-02   3.50951e-02   9.55220e-01  -1.21281e+00   9.87063e-01  -3.60207e-01 
  3.73045e-02   3.64293e-02   9.53527e-01  -1.21020e+00   9.86560e-01  -3.60198e-01 
  3.87569e-02   3.78130e-02   9.51771e-01  -1.20750e+00   9.86037e-01  -3.60188e-01 
  4.02659e-02   3.92478e-02   9.49951e-01  -1.20470e+00   9.85493e-01  -3.60178e-01 
  4.18336e-02   4.07356e-02   9.48065e-01  -1.20180e+00   9.84929e-01  -3.60167e-01 
