#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28188e+00   1.00000e+00  -1.52120e+00 
  7.50000e-03   7.46409e-03   9.90442e-01  -1.26699e+00   9.88592e-01  -1.52099e+00 
  7.79201e-03   7.75325e-03   9.90072e-01  -1.26642e+00   9.88147e-01  -1.52097e+00 
  8.09538e-03   8.05356e-03   9.89688e-01  -1.26582e+00   9.87686e-01  -1.52096e+00 
  8.41057e-03   8.36543e-03   9.89289e-01  -1.26520e+00   9.87207e-01  -1.52094e+00 
  8.73803e-03   8.68932e-03   9.88875e-01  -1.26455e+00   9.86709e-01  -1.52091e+00 
  9.07824e-03   9.02567e-03   9.88445e-01  -1.26388e+00   9.86191e-01  -1.52089e+00 
  9.43170e-03   9.37496e-03   9.87998e-01  -1.26319e+00   9.85654e-01  -1.52087e+00 
  9.79891e-03   9.73768e-03   9.87534e-01  -1.26247e+00   9.85095e-01  -1.52084e+00 
  1.01804e-02   1.01143e-02   9.87053e-01  -1.26172e+00   9.84515e-01  -1.52081e+00 
  1.05768e-02   1.05055e-02   9.86553e-01  -1.26094e+00   9.83912e-01  -1.52078e+00 
  1.09886e-02   1.09116e-02   9.86034e-01  -1.26014e+00   9.83286e-01  -1.52075e+00 
  1.14164e-02   1.13334e-02   9.85495e-01  -1.25930e+00   9.82635e-01  -1.52071e+00 
  1.18609e-02   1.17713e-02   9.84935e-01  -1.25843e+00   9.81959e-01  -1.52067e+00 
  1.23227e-02   1.22260e-02   9.84354e-01  -1.25753e+00   9.81257e-01  -1.52063e+00 
  1.28025e-02   1.26981e-02   9.83751e-01  -1.25659e+00   9.80527e-01  -1.52058e+00 
  1.33009e-02   1.31883e-02   9.83125e-01  -1.25562e+00   9.79770e-01  -1.52054e+00 
  1.38188e-02   1.36973e-02   9.82475e-01  -1.25461e+00   9.78982e-01  -1.52048e+00 
  1.43568e-02   1.42257e-02   9.81800e-01  -1.25356e+00   9.78164e-01  -1.52043e+00 
  1.49158e-02   1.47743e-02   9.81100e-01  -1.25247e+00   9.77314e-01  -1.52036e+00 
  1.54965e-02   1.53439e-02   9.80373e-01  -1.25135e+00   9.76431e-01  -1.52030e+00 
  1.60999e-02   1.59351e-02   9.79618e-01  -1.25018e+00   9.75514e-01  -1.52023e+00 
  1.67267e-02   1.65490e-02   9.78835e-01  -1.24896e+00   9.74561e-01  -1.52015e+00 
  1.73780e-02   1.71862e-02   9.78022e-01  -1.24770e+00   9.73571e-01  -1.52006e+00 
  1.80546e-02   1.78476e-02   9.77178e-01  -1.24639e+00   9.72543e-01  -1.51997e+00 
  1.87575e-02   1.85342e-02   9.76303e-01  -1.24504e+00   9.71474e-01  -1.51988e+00 
  1.94878e-02   1.92469e-02   9.75394e-01  -1.24363e+00   9.70364e-01  -1.51977e+00 
  2.02466e-02   1.99866e-02   9.74451e-01  -1.24217e+00   9.69211e-01  -1.51966e+00 
