#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31369e+00   1.00000e+00   2.88773e+01 
  7.50000e-03   7.46319e-03   9.90203e-01  -1.29880e+00   1.21662e+00   2.88893e+01 
  7.79201e-03   7.75228e-03   9.89824e-01  -1.29822e+00   1.22506e+00   2.88898e+01 
  8.09538e-03   8.05251e-03   9.89430e-01  -1.29763e+00   1.23382e+00   2.88903e+01 
  8.41057e-03   8.36431e-03   9.89021e-01  -1.29701e+00   1.24293e+00   2.88908e+01 
  8.73803e-03   8.68810e-03   9.88597e-01  -1.29636e+00   1.25239e+00   2.88914e+01 
  9.07824e-03   9.02436e-03   9.88156e-01  -1.29569e+00   1.26222e+00   2.88920e+01 
  9.43170e-03   9.37354e-03   9.87698e-01  -1.29500e+00   1.27243e+00   2.88926e+01 
  9.79891e-03   9.73616e-03   9.87223e-01  -1.29428e+00   1.28304e+00   2.88932e+01 
  1.01804e-02   1.01127e-02   9.86729e-01  -1.29353e+00   1.29407e+00   2.88939e+01 
  1.05768e-02   1.05037e-02   9.86216e-01  -1.29275e+00   1.30552e+00   2.88946e+01 
  1.09886e-02   1.09097e-02   9.85684e-01  -1.29195e+00   1.31742e+00   2.88954e+01 
  1.14164e-02   1.13313e-02   9.85132e-01  -1.29111e+00   1.32978e+00   2.88961e+01 
  1.18609e-02   1.17691e-02   9.84558e-01  -1.29024e+00   1.34262e+00   2.88969e+01 
  1.23227e-02   1.22236e-02   9.83962e-01  -1.28934e+00   1.35597e+00   2.88978e+01 
  1.28025e-02   1.26955e-02   9.83344e-01  -1.28840e+00   1.36983e+00   2.88986e+01 
  1.33009e-02   1.31855e-02   9.82702e-01  -1.28743e+00   1.38424e+00   2.88996e+01 
  1.38188e-02   1.36943e-02   9.82036e-01  -1.28642e+00   1.39920e+00   2.89005e+01 
  1.43568e-02   1.42224e-02   9.81344e-01  -1.28538e+00   1.41475e+00   2.89015e+01 
  1.49158e-02   1.47708e-02   9.80626e-01  -1.28429e+00   1.43091e+00   2.89026e+01 
  1.54965e-02   1.53400e-02   9.79880e-01  -1.28316e+00   1.44769e+00   2.89037e+01 
  1.60999e-02   1.59310e-02   9.79106e-01  -1.28199e+00   1.46513e+00   2.89048e+01 
  1.67267e-02   1.65445e-02   9.78303e-01  -1.28078e+00   1.48325e+00   2.89060e+01 
  1.73780e-02   1.71813e-02   9.77469e-01  -1.27952e+00   1.50208e+00   2.89073e+01 
  1.80546e-02   1.78424e-02   9.76604e-01  -1.27821e+00   1.52164e+00   2.89086e+01 
  1.87575e-02   1.85286e-02   9.75706e-01  -1.27686e+00   1.54196e+00   2.89100e+01 
  1.94878e-02   1.92408e-02   9.74774e-01  -1.27545e+00   1.56307e+00   2.89115e+01 
  2.02466e-02   1.99801e-02   9.73807e-01  -1.27399e+00   1.58501e+00   2.89130e+01 
  2.10349e-02   2.07473e-02   9.72803e-01  -1.27248e+00   1.60780e+00   2.89146e+01 
  2.18538e-02   2.15436e-02   9.71762e-01  -1.27091e+00   1.63148e+00   2.89163e+01 
  2.27047e-02   2.23700e-02   9.70681e-01  -1.26928e+00   1.65609e+00   2.89181e+01 
  2.35887e-02   2.32275e-02   9.69560e-01  -1.26759e+00   1.68165e+00   2.89199e+01 
  2.45071e-02   2.41175e-02   9.68396e-01  -1.26584e+00   1.70821e+00   2.89219e+01 
  2.54613e-02   2.50409e-02   9.67189e-01  -1.26402e+00   1.73581e+00   2.89239e+01 
  2.64526e-02   2.59991e-02   9.65937e-01  -1.26214e+00   1.76448e+00   2.89261e+01 
  2.74825e-02   2.69932e-02   9.64638e-01  -1.26018e+00   1.79428e+00   2.89283e+01 
  2.85525e-02   2.80247e-02   9.63291e-01  -1.25816e+00   1.82523e+00   2.89307e+01 
  2.96642e-02   2.90948e-02   9.61894e-01  -1.25606e+00   1.85739e+00   2.89332e+01 
  3.08191e-02   3.02049e-02   9.60444e-01  -1.25388e+00   1.89081e+00   2.89358e+01 
  3.20191e-02   3.13564e-02   9.58941e-01  -1.25162e+00   1.92554e+00   2.89386e+01 
  3.32657e-02   3.25509e-02   9.57382e-01  -1.24928e+00   1.96161e+00   2.89415e+01 
  3.45609e-02   3.37898e-02   9.55766e-01  -1.24686e+00   1.99910e+00   2.89446e+01 
  3.59065e-02   3.50748e-02   9.54090e-01  -1.24435e+00   2.03805e+00   2.89478e+01 
  3.73045e-02   3.64074e-02   9.52352e-01  -1.24175e+00   2.07852e+00   2.89512e+01 
  3.87569e-02   3.77893e-02   9.50550e-01  -1.23905e+00   2.12057e+00   2.89547e+01 
  4.02659e-02   3.92223e-02   9.48683e-01  -1.23626e+00   2.16427e+00   2.89585e+01 
  4.18336e-02   4.07080e-02   9.46747e-01  -1.23336e+00   2.20967e+00   2.89625e+01 
  4.34624e-02   4.22484e-02   9.44740e-01  -1.23037e+00   2.25685e+00   2.89667e+01 
  4.51545e-02   4.38453e-02   9.42661e-01  -1.22726e+00   2.30587e+00   2.89711e+01 
  4.69126e-02   4.55007e-02   9.40506e-01  -1.22405e+00   2.35680e+00   2.89757e+01 
  4.87391e-02   4.72165e-02   9.38273e-01  -1.22072e+00   2.40973e+00   2.89806e+01 
  5.06367e-02   4.89948e-02   9.35960e-01  -1.21728e+00   2.46473e+00   2.89858e+01 
  5.26083e-02   5.08377e-02   9.33564e-01  -1.21371e+00   2.52188e+00   2.89913e+01 
  5.46565e-02   5.27473e-02   9.31082e-01  -1.21002e+00   2.58127e+00   2.89970e+01 
  5.67845e-02   5.47259e-02   9.28511e-01  -1.20621e+00   2.64298e+00   2.90031e+01 
  5.89954e-02   5.67758e-02   9.25848e-01  -1.20226e+00   2.70711e+00   2.90096e+01 
  6.12923e-02   5.88992e-02   9.23092e-01  -1.19817e+00   2.77375e+00   2.90164e+01 
  6.36787e-02   6.10987e-02   9.20237e-01  -1.19394e+00   2.84301e+00   2.90236e+01 
  6.61580e-02   6.33765e-02   9.17283e-01  -1.18957e+00   2.91497e+00   2.90312e+01 
  6.87338e-02   6.57354e-02   9.14224e-01  -1.18506e+00   2.98976e+00   2.90392e+01 
  7.14099e-02   6.81777e-02   9.11059e-01  -1.18039e+00   3.06749e+00   2.90477e+01 
  7.41902e-02   7.07061e-02   9.07784e-01  -1.17556e+00   3.14826e+00   2.90567e+01 
  7.70788e-02   7.33234e-02   9.04396e-01  -1.17057e+00   3.23220e+00   2.90662e+01 
  8.00798e-02   7.60323e-02   9.00891e-01  -1.16542e+00   3.31945e+00   2.90762e+01 
  8.31976e-02   7.88354e-02   8.97265e-01  -1.16010e+00   3.41012e+00   2.90869e+01 
  8.64369e-02   8.17358e-02   8.93516e-01  -1.15461e+00   3.50436e+00   2.90981e+01 
  8.98022e-02   8.47363e-02   8.89640e-01  -1.14893e+00   3.60230e+00   2.91100e+01 
  9.32986e-02   8.78398e-02   8.85633e-01  -1.14308e+00   3.70410e+00   2.91226e+01 
  9.69311e-02   9.10494e-02   8.81492e-01  -1.13704e+00   3.80992e+00   2.91360e+01 
  1.00705e-01   9.43680e-02   8.77213e-01  -1.13080e+00   3.91990e+00   2.91501e+01 
  1.04626e-01   9.77988e-02   8.72792e-01  -1.12437e+00   4.03422e+00   2.91651e+01 
  1.08700e-01   1.01345e-01   8.68225e-01  -1.11775e+00   4.15306e+00   2.91810e+01 
  1.12932e-01   1.05009e-01   8.63509e-01  -1.11091e+00   4.27660e+00   2.91978e+01 
  1.17329e-01   1.08795e-01   8.58640e-01  -1.10387e+00   4.40502e+00   2.92156e+01 
  1.21897e-01   1.12706e-01   8.53614e-01  -1.09662e+00   4.53852e+00   2.92344e+01 
  1.26643e-01   1.16745e-01   8.48427e-01  -1.08915e+00   4.67731e+00   2.92543e+01 
