#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31779e+00   1.00000e+00  -5.61597e+00 
  7.50000e-03   7.46308e-03   9.90173e-01  -1.30291e+00   9.58713e-01  -5.39519e+00 
  7.79201e-03   7.75216e-03   9.89792e-01  -1.30233e+00   9.57139e-01  -5.38677e+00 
  8.09538e-03   8.05238e-03   9.89397e-01  -1.30173e+00   9.55506e-01  -5.37802e+00 
  8.41057e-03   8.36416e-03   9.88987e-01  -1.30111e+00   9.53813e-01  -5.36896e+00 
  8.73803e-03   8.68794e-03   9.88561e-01  -1.30047e+00   9.52056e-01  -5.35955e+00 
  9.07824e-03   9.02419e-03   9.88119e-01  -1.29980e+00   9.50234e-01  -5.34979e+00 
  9.43170e-03   9.37336e-03   9.87659e-01  -1.29911e+00   9.48345e-01  -5.33968e+00 
  9.79891e-03   9.73596e-03   9.87182e-01  -1.29839e+00   9.46386e-01  -5.32918e+00 
  1.01804e-02   1.01125e-02   9.86687e-01  -1.29764e+00   9.44355e-01  -5.31830e+00 
  1.05768e-02   1.05035e-02   9.86173e-01  -1.29686e+00   9.42249e-01  -5.30702e+00 
  1.09886e-02   1.09095e-02   9.85639e-01  -1.29605e+00   9.40066e-01  -5.29532e+00 
  1.14164e-02   1.13310e-02   9.85085e-01  -1.29522e+00   9.37804e-01  -5.28320e+00 
  1.18609e-02   1.17688e-02   9.84509e-01  -1.29435e+00   9.35458e-01  -5.27063e+00 
  1.23227e-02   1.22233e-02   9.83912e-01  -1.29345e+00   9.33027e-01  -5.25760e+00 
  1.28025e-02   1.26952e-02   9.83291e-01  -1.29251e+00   9.30508e-01  -5.24409e+00 
  1.33009e-02   1.31852e-02   9.82647e-01  -1.29154e+00   9.27897e-01  -5.23010e+00 
  1.38188e-02   1.36939e-02   9.81979e-01  -1.29053e+00   9.25193e-01  -5.21559e+00 
  1.43568e-02   1.42220e-02   9.81285e-01  -1.28948e+00   9.22391e-01  -5.20056e+00 
  1.49158e-02   1.47703e-02   9.80564e-01  -1.28840e+00   9.19488e-01  -5.18499e+00 
  1.54965e-02   1.53395e-02   9.79816e-01  -1.28727e+00   9.16481e-01  -5.16887e+00 
  1.60999e-02   1.59305e-02   9.79040e-01  -1.28610e+00   9.13368e-01  -5.15216e+00 
  1.67267e-02   1.65439e-02   9.78234e-01  -1.28489e+00   9.10144e-01  -5.13486e+00 
  1.73780e-02   1.71807e-02   9.77398e-01  -1.28363e+00   9.06806e-01  -5.11694e+00 
  1.80546e-02   1.78417e-02   9.76530e-01  -1.28232e+00   9.03350e-01  -5.09838e+00 
  1.87575e-02   1.85279e-02   9.75629e-01  -1.28097e+00   8.99773e-01  -5.07918e+00 
  1.94878e-02   1.92400e-02   9.74694e-01  -1.27956e+00   8.96070e-01  -5.05929e+00 
  2.02466e-02   1.99792e-02   9.73724e-01  -1.27810e+00   8.92240e-01  -5.03871e+00 
  2.10349e-02   2.07464e-02   9.72717e-01  -1.27659e+00   8.88276e-01  -5.01742e+00 
  2.18538e-02   2.15426e-02   9.71672e-01  -1.27502e+00   8.84176e-01  -4.99538e+00 
  2.27047e-02   2.23689e-02   9.70588e-01  -1.27339e+00   8.79935e-01  -4.97259e+00 
  2.35887e-02   2.32264e-02   9.69463e-01  -1.27170e+00   8.75550e-01  -4.94901e+00 
  2.45071e-02   2.41162e-02   9.68296e-01  -1.26995e+00   8.71016e-01  -4.92462e+00 
  2.54613e-02   2.50396e-02   9.67085e-01  -1.26813e+00   8.66329e-01  -4.89941e+00 
  2.64526e-02   2.59976e-02   9.65829e-01  -1.26624e+00   8.61485e-01  -4.87334e+00 
  2.74825e-02   2.69917e-02   9.64526e-01  -1.26429e+00   8.56480e-01  -4.84640e+00 
  2.85525e-02   2.80230e-02   9.63174e-01  -1.26227e+00   8.51309e-01  -4.81856e+00 
  2.96642e-02   2.90930e-02   9.61772e-01  -1.26017e+00   8.45968e-01  -4.78979e+00 
  3.08191e-02   3.02029e-02   9.60318e-01  -1.25799e+00   8.40454e-01  -4.76008e+00 
  3.20191e-02   3.13543e-02   9.58809e-01  -1.25573e+00   8.34760e-01  -4.72939e+00 
  3.32657e-02   3.25486e-02   9.57245e-01  -1.25340e+00   8.28884e-01  -4.69771e+00 
