#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.39756e+00   1.00000e+00   5.24068e+00 
  3.55000e-03   3.54121e-03   9.95052e-01  -1.39025e+00   1.01852e+00   5.19245e+00 
  3.68822e-03   3.67873e-03   9.94860e-01  -1.38997e+00   1.01924e+00   5.19058e+00 
  3.83182e-03   3.82157e-03   9.94660e-01  -1.38968e+00   1.01998e+00   5.18864e+00 
  3.98100e-03   3.96995e-03   9.94453e-01  -1.38937e+00   1.02076e+00   5.18662e+00 
  4.13600e-03   4.12407e-03   9.94237e-01  -1.38905e+00   1.02156e+00   5.18452e+00 
  4.29703e-03   4.28416e-03   9.94014e-01  -1.38872e+00   1.02239e+00   5.18234e+00 
  4.46434e-03   4.45044e-03   9.93781e-01  -1.38838e+00   1.02326e+00   5.18008e+00 
  4.63815e-03   4.62315e-03   9.93540e-01  -1.38803e+00   1.02416e+00   5.17773e+00 
  4.81874e-03   4.80255e-03   9.93289e-01  -1.38766e+00   1.02510e+00   5.17529e+00 
  5.00635e-03   4.98888e-03   9.93029e-01  -1.38727e+00   1.02607e+00   5.17275e+00 
  5.20127e-03   5.18241e-03   9.92759e-01  -1.38687e+00   1.02707e+00   5.17012e+00 
  5.40378e-03   5.38343e-03   9.92478e-01  -1.38646e+00   1.02812e+00   5.16739e+00 
  5.61417e-03   5.59220e-03   9.92186e-01  -1.38603e+00   1.02921e+00   5.16455e+00 
  5.83275e-03   5.80905e-03   9.91883e-01  -1.38558e+00   1.03034e+00   5.16160e+00 
  6.05985e-03   6.03426e-03   9.91569e-01  -1.38512e+00   1.03151e+00   5.15854e+00 
  6.29578e-03   6.26817e-03   9.91242e-01  -1.38464e+00   1.03273e+00   5.15536e+00 
  6.54090e-03   6.51110e-03   9.90903e-01  -1.38414e+00   1.03399e+00   5.15206e+00 
  6.79557e-03   6.76341e-03   9.90550e-01  -1.38362e+00   1.03530e+00   5.14863e+00 
  7.06015e-03   7.02544e-03   9.90184e-01  -1.38308e+00   1.03666e+00   5.14507e+00 
  7.33503e-03   7.29757e-03   9.89804e-01  -1.38252e+00   1.03808e+00   5.14137e+00 
  7.62062e-03   7.58019e-03   9.89409e-01  -1.38194e+00   1.03954e+00   5.13753e+00 
  7.91732e-03   7.87369e-03   9.88999e-01  -1.38133e+00   1.04107e+00   5.13354e+00 
  8.22558e-03   8.17849e-03   9.88574e-01  -1.38071e+00   1.04265e+00   5.12940e+00 
  8.54583e-03   8.49501e-03   9.88132e-01  -1.38006e+00   1.04429e+00   5.12510e+00 
  8.87856e-03   8.82372e-03   9.87673e-01  -1.37938e+00   1.04600e+00   5.12064e+00 
  9.22424e-03   9.16505e-03   9.87196e-01  -1.37868e+00   1.04776e+00   5.11600e+00 
  9.58338e-03   9.51950e-03   9.86701e-01  -1.37795e+00   1.04960e+00   5.11119e+00 
  9.95650e-03   9.88757e-03   9.86187e-01  -1.37719e+00   1.05151e+00   5.10619e+00 
  1.03442e-02   1.02698e-02   9.85653e-01  -1.37641e+00   1.05349e+00   5.10100e+00 
  1.07469e-02   1.06666e-02   9.85099e-01  -1.37559e+00   1.05554e+00   5.09562e+00 
  1.11653e-02   1.10787e-02   9.84524e-01  -1.37475e+00   1.05767e+00   5.09003e+00 
  1.16000e-02   1.15065e-02   9.83926e-01  -1.37387e+00   1.05988e+00   5.08422e+00 
  1.20517e-02   1.19508e-02   9.83306e-01  -1.37295e+00   1.06218e+00   5.07820e+00 
  1.25209e-02   1.24120e-02   9.82662e-01  -1.37201e+00   1.06456e+00   5.07194e+00 
  1.30084e-02   1.28909e-02   9.81993e-01  -1.37102e+00   1.06703e+00   5.06545e+00 
  1.35149e-02   1.33881e-02   9.81299e-01  -1.37000e+00   1.06959e+00   5.05871e+00 
  1.40411e-02   1.39042e-02   9.80579e-01  -1.36895e+00   1.07225e+00   5.05171e+00 
  1.45877e-02   1.44401e-02   9.79830e-01  -1.36785e+00   1.07501e+00   5.04445e+00 
  1.51557e-02   1.49964e-02   9.79054e-01  -1.36671e+00   1.07787e+00   5.03691e+00 
  1.57458e-02   1.55739e-02   9.78248e-01  -1.36552e+00   1.08084e+00   5.02909e+00 
  1.63588e-02   1.61733e-02   9.77411e-01  -1.36429e+00   1.08393e+00   5.02097e+00 
  1.69957e-02   1.67956e-02   9.76543e-01  -1.36302e+00   1.08712e+00   5.01255e+00 
