#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -3.99652e+00   1.00000e+00  -1.33211e+00 
  7.50000e-03   7.38793e-03   9.70158e-01  -3.96153e+00   9.90008e-01  -1.33257e+00 
  7.79201e-03   7.67105e-03   9.69001e-01  -3.96018e+00   9.89618e-01  -1.33259e+00 
  8.09538e-03   7.96484e-03   9.67800e-01  -3.95878e+00   9.89214e-01  -1.33261e+00 
  8.41057e-03   8.26968e-03   9.66552e-01  -3.95733e+00   9.88794e-01  -1.33264e+00 
  8.73803e-03   8.58598e-03   9.65257e-01  -3.95582e+00   9.88358e-01  -1.33267e+00 
  9.07824e-03   8.91414e-03   9.63911e-01  -3.95426e+00   9.87904e-01  -1.33269e+00 
  9.43170e-03   9.25459e-03   9.62514e-01  -3.95263e+00   9.87433e-01  -1.33272e+00 
  9.79891e-03   9.60778e-03   9.61063e-01  -3.95095e+00   9.86944e-01  -1.33275e+00 
  1.01804e-02   9.97415e-03   9.59556e-01  -3.94920e+00   9.86435e-01  -1.33279e+00 
  1.05768e-02   1.03542e-02   9.57991e-01  -3.94738e+00   9.85907e-01  -1.33282e+00 
  1.09886e-02   1.07483e-02   9.56366e-01  -3.94550e+00   9.85358e-01  -1.33286e+00 
  1.14164e-02   1.11571e-02   9.54678e-01  -3.94354e+00   9.84788e-01  -1.33290e+00 
  1.18609e-02   1.15811e-02   9.52926e-01  -3.94151e+00   9.84196e-01  -1.33294e+00 
  1.23227e-02   1.20207e-02   9.51106e-01  -3.93941e+00   9.83580e-01  -1.33299e+00 
  1.28025e-02   1.24766e-02   9.49216e-01  -3.93722e+00   9.82941e-01  -1.33303e+00 
  1.33009e-02   1.29493e-02   9.47254e-01  -3.93496e+00   9.82276e-01  -1.33308e+00 
  1.38188e-02   1.34393e-02   9.45217e-01  -3.93261e+00   9.81586e-01  -1.33313e+00 
  1.43568e-02   1.39473e-02   9.43102e-01  -3.93017e+00   9.80868e-01  -1.33319e+00 
