#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.38093e+00   1.00000e+00   6.66659e+00 
  7.50000e-03   7.46130e-03   9.89700e-01  -1.36588e+00   1.04926e+00   6.47100e+00 
  7.79201e-03   7.75024e-03   9.89301e-01  -1.36530e+00   1.05115e+00   6.46348e+00 
  8.09538e-03   8.05031e-03   9.88887e-01  -1.36470e+00   1.05311e+00   6.45567e+00 
  8.41057e-03   8.36193e-03   9.88457e-01  -1.36407e+00   1.05514e+00   6.44757e+00 
  8.73803e-03   8.68554e-03   9.88010e-01  -1.36342e+00   1.05725e+00   6.43917e+00 
  9.07824e-03   9.02159e-03   9.87546e-01  -1.36275e+00   1.05944e+00   6.43045e+00 
  9.43170e-03   9.37056e-03   9.87065e-01  -1.36205e+00   1.06171e+00   6.42139e+00 
  9.79891e-03   9.73293e-03   9.86565e-01  -1.36132e+00   1.06407e+00   6.41200e+00 
  1.01804e-02   1.01092e-02   9.86046e-01  -1.36056e+00   1.06652e+00   6.40225e+00 
  1.05768e-02   1.05000e-02   9.85506e-01  -1.35978e+00   1.06905e+00   6.39214e+00 
  1.09886e-02   1.09057e-02   9.84947e-01  -1.35896e+00   1.07168e+00   6.38164e+00 
  1.14164e-02   1.13269e-02   9.84365e-01  -1.35812e+00   1.07441e+00   6.37076e+00 
  1.18609e-02   1.17643e-02   9.83762e-01  -1.35724e+00   1.07724e+00   6.35946e+00 
  1.23227e-02   1.22185e-02   9.83135e-01  -1.35633e+00   1.08017e+00   6.34775e+00 
  1.28025e-02   1.26900e-02   9.82485e-01  -1.35538e+00   1.08322e+00   6.33559e+00 
  1.33009e-02   1.31796e-02   9.81810e-01  -1.35440e+00   1.08637e+00   6.32298e+00 
  1.38188e-02   1.36878e-02   9.81108e-01  -1.35338e+00   1.08964e+00   6.30991e+00 
  1.43568e-02   1.42155e-02   9.80381e-01  -1.35232e+00   1.09303e+00   6.29634e+00 
  1.49158e-02   1.47633e-02   9.79625e-01  -1.35123e+00   1.09655e+00   6.28228e+00 
  1.54965e-02   1.53320e-02   9.78841e-01  -1.35009e+00   1.10019e+00   6.26769e+00 
  1.60999e-02   1.59223e-02   9.78026e-01  -1.34891e+00   1.10397e+00   6.25257e+00 
  1.67267e-02   1.65351e-02   9.77181e-01  -1.34768e+00   1.10788e+00   6.23689e+00 
  1.73780e-02   1.71712e-02   9.76304e-01  -1.34641e+00   1.11194e+00   6.22063e+00 
  1.80546e-02   1.78315e-02   9.75393e-01  -1.34509e+00   1.11614e+00   6.20378e+00 
  1.87575e-02   1.85168e-02   9.74448e-01  -1.34372e+00   1.12050e+00   6.18631e+00 
  1.94878e-02   1.92281e-02   9.73468e-01  -1.34230e+00   1.12501e+00   6.16820e+00 
  2.02466e-02   1.99663e-02   9.72450e-01  -1.34082e+00   1.12968e+00   6.14943e+00 
  2.10349e-02   2.07325e-02   9.71393e-01  -1.33929e+00   1.13452e+00   6.12998e+00 
