#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.47568e+00   1.00000e+00  -1.48948e-01 
  7.50000e-02   7.09989e-02   8.95227e-01  -1.32183e+00   9.85460e-01  -2.34429e-01 
  1.50000e-01   1.34553e-01   8.01233e-01  -1.18768e+00   9.65411e-01  -2.96852e-01 
  2.25000e-01   1.91419e-01   7.16662e-01  -1.07010e+00   9.41374e-01  -3.41552e-01 
  3.00000e-01   2.42259e-01   6.40368e-01  -9.66552e-01   9.14518e-01  -3.72614e-01 
  3.75000e-01   2.87657e-01   5.71381e-01  -8.74915e-01   8.85744e-01  -3.93181e-01 
  4.50000e-01   3.28129e-01   5.08877e-01  -7.93435e-01   8.55742e-01  -4.05679e-01 
  5.25000e-01   3.64133e-01   4.52149e-01  -7.20647e-01   8.25046e-01  -4.11988e-01 
  6.00000e-01   3.96080e-01   4.00593e-01  -6.55327e-01   7.94062e-01  -4.13571e-01 
  6.75000e-01   4.24338e-01   3.53689e-01  -5.96449e-01   7.63100e-01  -4.11565e-01 
  7.50000e-01   4.49238e-01   3.10987e-01  -5.43150e-01   7.32395e-01  -4.06859e-01 
  8.25000e-01   4.71081e-01   2.72095e-01  -4.94705e-01   7.02121e-01  -4.00146e-01 
  9.00000e-01   4.90139e-01   2.36675e-01  -4.50500e-01   6.72409e-01  -3.91967e-01 
  9.75000e-01   5.06662e-01   2.04427e-01  -4.10019e-01   6.43352e-01  -3.82744e-01 
  1.05000e+00   5.20876e-01   1.75090e-01  -3.72825e-01   6.15015e-01  -3.72806e-01 
  1.12500e+00   5.32992e-01   1.48431e-01  -3.38547e-01   5.87443e-01  -3.62410e-01 
  1.20000e+00   5.43203e-01   1.24243e-01  -3.06871e-01   5.60660e-01  -3.51754e-01 
  1.27500e+00   5.51686e-01   1.02342e-01  -2.77533e-01   5.34682e-01  -3.40990e-01 
  1.35000e+00   5.58607e-01   8.25602e-02  -2.50306e-01   5.09512e-01  -3.30235e-01 
  1.42500e+00   5.64119e-01   6.47478e-02  -2.24998e-01   4.85144e-01  -3.19578e-01 
  1.50000e+00   5.68365e-01   4.87667e-02  -2.01446e-01   4.61571e-01  -3.09085e-01 
  1.57500e+00   5.71477e-01   3.44906e-02  -1.79510e-01   4.38776e-01  -2.98805e-01 
  1.65000e+00   5.73578e-01   2.18028e-02  -1.59070e-01   4.16744e-01  -2.88772e-01 
  1.72500e+00   5.74784e-01   1.05952e-02  -1.40024e-01   3.95454e-01  -2.79009e-01 
  1.80000e+00   5.75202e-01   7.66568e-04  -1.22283e-01   3.74885e-01  -2.69533e-01 
  1.87500e+00   5.74931e-01  -7.77787e-03  -1.05767e-01   3.55017e-01  -2.60350e-01 
  1.95000e+00   5.74065e-01  -1.51275e-02  -9.04104e-02   3.35825e-01  -2.51465e-01 
  2.02500e+00   5.72690e-01  -2.13669e-02  -7.61508e-02   3.17289e-01  -2.42876e-01 
  2.10000e+00   5.70886e-01  -2.65762e-02  -6.29342e-02   2.99387e-01  -2.34580e-01 
  2.17500e+00   5.68727e-01  -3.08318e-02  -5.07114e-02   2.82095e-01  -2.26570e-01 
  2.25000e+00   5.66283e-01  -3.42066e-02  -3.94369e-02   2.65394e-01  -2.18838e-01 
  2.32500e+00   5.63617e-01  -3.67700e-02  -2.90686e-02   2.49263e-01  -2.11375e-01 
  2.40000e+00   5.60786e-01  -3.85886e-02  -1.95669e-02   2.33682e-01  -2.04171e-01 
  2.47500e+00   5.57845e-01  -3.97258e-02  -1.08942e-02   2.18631e-01  -1.97215e-01 
  2.55000e+00   5.54843e-01  -4.02425e-02  -3.01435e-03   2.04093e-01  -1.90498e-01 
  2.62500e+00   5.51823e-01  -4.01969e-02   4.10761e-03   1.90051e-01  -1.84008e-01 
  2.70000e+00   5.48826e-01  -3.96445e-02   1.05057e-02   1.76487e-01  -1.77735e-01 
  2.77500e+00   5.45888e-01  -3.86383e-02   1.62130e-02   1.63385e-01  -1.71670e-01 
  2.85000e+00   5.43040e-01  -3.72290e-02   2.12624e-02   1.50731e-01  -1.65801e-01 
  2.92500e+00   5.40312e-01  -3.54646e-02   2.56857e-02   1.38510e-01  -1.60120e-01 
  3.00000e+00   5.37728e-01  -3.33910e-02   2.95147e-02   1.26709e-01  -1.54619e-01 
  3.07500e+00   5.35310e-01  -3.10515e-02   3.27804e-02   1.15313e-01  -1.49288e-01 
  3.15000e+00   5.33076e-01  -2.84872e-02   3.55136e-02   1.04311e-01  -1.44121e-01 
  3.22500e+00   5.31042e-01  -2.57370e-02   3.77442e-02   9.36911e-02  -1.39111e-01 
  3.30000e+00   5.29219e-01  -2.28374e-02   3.95019e-02   8.34410e-02  -1.34251e-01 
  3.37500e+00   5.27619e-01  -1.98228e-02   4.08155e-02   7.35499e-02  -1.29535e-01 
  3.45000e+00   5.26248e-01  -1.67255e-02   4.17135e-02   6.40073e-02  -1.24958e-01 
  3.52500e+00   5.25112e-01  -1.35755e-02   4.22234e-02   5.48028e-02  -1.20515e-01 
  3.60000e+00   5.24212e-01  -1.04010e-02   4.23719e-02   4.59267e-02  -1.16202e-01 
  3.67500e+00   5.23551e-01  -7.22809e-03   4.21851e-02   3.73694e-02  -1.12015e-01 
  3.75000e+00   5.23127e-01  -4.08099e-03   4.16880e-02   2.91214e-02  -1.07950e-01 
  3.82500e+00   5.22938e-01  -9.82040e-04   4.09050e-02   2.11739e-02  -1.04004e-01 
  3.90000e+00   5.22978e-01   2.04819e-03   3.98592e-02   1.35180e-02  -1.00174e-01 
  3.97500e+00   5.23243e-01   4.99083e-03   3.85730e-02   6.14502e-03  -9.64571e-02 
  4.05000e+00   5.23724e-01   7.82866e-03   3.70677e-02  -9.53364e-04  -9.28514e-02 
  4.12500e+00   5.24414e-01   1.05460e-02   3.53637e-02  -7.78541e-03  -8.93543e-02 
