# Flat Plate Heat Transfer initial guesses  
#     Pr           f''(0)         g'(0)
  1.00000e+00   9.08140e-01  -4.00934e-01 
  2.00000e+00   8.07969e-01  -5.06444e-01 
  3.00000e+00   7.50906e-01  -5.76392e-01 
  4.00000e+00   7.11489e-01  -6.29956e-01 
  5.00000e+00   6.81653e-01  -6.73871e-01 
  6.00000e+00   6.57791e-01  -7.11397e-01 
  7.00000e+00   6.37935e-01  -7.44324e-01 
  8.00000e+00   6.21072e-01  -7.73929e-01 
  9.00000e+00   6.06358e-01  -8.00801e-01 
  1.00000e+01   5.93276e-01  -8.25388e-01 
